session_id,timestamp,latitude,longitude,accuracy_m,altitude_m,distance_m,service_state,network_type,signal_dbm,signal_level,operator_name,subscription_id
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:54:10.109016+08:00,10.3466635,123.8073867,9.9,241.41,252.2,IN_SERVICE,LTE,-123,1,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:59:15.318902+08:00,10.3462231,123.8070123,9.2,273.34,361.1,IN_SERVICE,LTE,-116,2,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:04:15.761784+08:00,10.3455895,123.8076354,5.0,302.56,564.2,IN_SERVICE,LTE,-126,1,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:09:20.344701+08:00,10.3448573,123.8066566,8.4,319.82,776.4,IN_SERVICE,LTE,-124,1,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:14:24.306891+08:00,10.3444854,123.8073691,4.7,339.53,933.0,IN_SERVICE,LTE,-115,2,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:19:28.312128+08:00,10.3441868,123.8083740,7.3,367.76,1176.5,IN_SERVICE,GSM,-103,2,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:24:31.282936+08:00,10.3445227,123.8087968,6.8,371.31,1262.4,IN_SERVICE,LTE,-118,2,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:29:37.313355+08:00,10.3445195,123.8094332,8.5,394.81,1344.8,IN_SERVICE,LTE,-126,1,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:34:40.315138+08:00,10.3437107,123.8091207,6.1,429.76,1449.1,IN_SERVICE,LTE,-123,1,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:39:44.308275+08:00,10.3437831,123.8100298,6.4,454.36,1578.3,IN_SERVICE,LTE,-108,3,SUN,2
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T07:44:44.404116+08:00,10.3431230,123.8103962,7.3,481.36,1727.8,OUT_OF_SERVICE,NONE,,,,2
