session_id,timestamp,window_start_timestamp,window_duration_s,latitude,longitude,location_timestamp,location_age_ms,horizontal_accuracy_m,vertical_accuracy_m,altitude_m,speed_mps,speed_accuracy_mps,bearing_deg,bearing_accuracy_deg,gnss_timestamp,gnss_age_ms,satellites_visible,satellites_used,cn0_mean_dbhz,cn0_max_dbhz,gps_visible,gps_used,glonass_visible,glonass_used,beidou_visible,beidou_used,galileo_visible,galileo_used,qzss_visible,qzss_used,accel_sample_count,accel_x_mean_mps2,accel_y_mean_mps2,accel_z_mean_mps2,accel_magnitude_mean_mps2,accel_magnitude_stddev_mps2,accel_magnitude_rms_mps2,linear_accel_sample_count,linear_accel_x_mean_mps2,linear_accel_y_mean_mps2,linear_accel_z_mean_mps2,linear_accel_magnitude_mean_mps2,linear_accel_magnitude_stddev_mps2,linear_accel_magnitude_rms_mps2,gyro_sample_count,gyro_x_mean_radps,gyro_y_mean_radps,gyro_z_mean_radps,gyro_magnitude_mean_radps,gyro_magnitude_stddev_radps,gyro_magnitude_rms_radps,rotation_vector_x,rotation_vector_y,rotation_vector_z,rotation_vector_w,orientation_azimuth_deg,orientation_pitch_deg,orientation_roll_deg,step_events_window,step_count_total,light_lux,light_timestamp,light_age_ms,battery_level_pct,battery_temperature_c,battery_charging,battery_timestamp,battery_age_ms,surface_classifier_label,surface_classifier_confidence,surface_classifier_timestamp,surface_classifier_age_ms,manual_surface_label,manual_surface_timestamp,manual_surface_age_ms,route_distance_m,gps_accuracy_m,gps_quality
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:45:14.137632+08:00,2026-09-12T06:45:04.137632+08:00,10,10.3478445,123.8078361,2026-09-11T22:45:08Z,6849,9.3,16.8,233.59,0.00,0.11,,,2026-09-12T06:45:13.301317+08:00,837,0,0,,,0,0,0,0,0,0,0,0,0,0,505,1.3694,7.1402,4.2175,9.8413,0.9692,9.8889,200,0.0099,-0.0790,0.0220,0.9769,0.9287,1.3479,200,-0.0852,-0.2652,-0.1464,0.7577,0.9493,1.2146,0.54355,-0.31604,-0.38511,0.67555,-59.8,-0.5,77.9,0,0,475.00,2026-09-12T06:45:12.302632+08:00,1835,91.0,30.0,DISCHARGING,2026-09-12T06:45:04.135632+08:00,10002,,,,,,,,19.8,9.3,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:45:24.14845+08:00,2026-09-12T06:45:14.14845+08:00,10,10.3478595,123.8078421,2026-09-11T22:45:23Z,1861,10.0,13.9,229.77,0.00,0.32,,,2026-09-12T06:45:22.298698+08:00,1849,86,0,10.22,30.00,23,0,5,0,36,0,17,0,5,0,502,0.3074,8.6806,2.8217,10.0210,2.0172,10.2220,201,0.1099,-0.1746,0.1503,1.7173,1.8904,2.5540,201,0.0766,0.0359,-0.0796,1.1212,1.8886,2.1963,0.68427,-0.19389,-0.11240,0.69393,-25.1,-6.6,90.7,0,0,301.00,2026-09-12T06:45:22.01745+08:00,2131,91.0,30.0,DISCHARGING,2026-09-12T06:45:04.13645+08:00,20012,,,,,,,,21.7,10.0,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:45:34.160075+08:00,2026-09-12T06:45:24.160075+08:00,10,10.3478565,123.8078477,2026-09-11T22:45:31Z,3872,8.4,11.9,230.65,0.00,0.20,,,2026-09-12T06:45:30.300164+08:00,3860,85,0,12.62,33.40,23,0,5,0,35,0,17,0,5,0,501,0.6828,9.5789,0.2914,9.8053,0.5886,9.8230,201,-0.0527,0.0237,-0.0650,1.1418,0.8238,1.4079,201,0.0277,-0.0027,-0.0160,0.5098,0.3042,0.5936,0.79133,0.09398,0.11801,0.59248,16.8,-4.3,105.7,0,0,192.00,2026-09-12T06:45:33.018075+08:00,1142,91.0,30.0,DISCHARGING,2026-09-12T06:45:04.136075+08:00,30024,,,,,,,,22.4,8.4,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:45:44.170371+08:00,2026-09-12T06:45:34.170371+08:00,10,10.3478546,123.8078532,2026-09-11T22:45:39Z,5882,9.5,13.5,228.03,0.00,0.09,,,2026-09-12T06:45:38.344373+08:00,5826,87,0,12.09,34.60,23,0,5,0,37,0,17,0,5,0,504,-0.1671,8.7903,-3.4450,9.7364,0.5035,9.7495,201,0.0141,-0.0030,-0.0385,0.8723,0.5578,1.0354,201,-0.0216,-0.0970,-0.0368,0.4428,0.3653,0.5741,0.58275,-0.44596,-0.48531,0.47539,-82.4,8.1,94.5,0,0,515.00,2026-09-12T06:45:43.618371+08:00,552,91.0,30.0,DISCHARGING,2026-09-12T06:45:04.136371+08:00,40034,,,,,,,,23.0,9.5,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:45:54.18081+08:00,2026-09-12T06:45:44.18081+08:00,10,10.3478589,123.8078535,2026-09-11T22:45:47Z,7893,8.3,10.5,229.19,0.00,0.28,,,2026-09-12T06:45:53.295592+08:00,885,0,0,,,0,0,0,0,0,0,0,0,0,0,500,1.2614,9.4280,0.8447,9.8894,0.7858,9.9205,201,0.1933,-0.0404,0.1480,1.4326,1.1837,1.8583,201,-0.0102,0.1031,0.0317,0.6266,0.4293,0.7596,0.58993,-0.17431,-0.16238,0.77151,-27.2,-4.4,75.9,7,7,50.00,2026-09-12T06:45:53.81781+08:00,363,91.0,30.0,DISCHARGING,2026-09-12T06:45:04.13581+08:00,50045,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,3647,,,,23.5,8.3,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:46:04.192791+08:00,2026-09-12T06:45:54.192791+08:00,10,10.3478731,123.8078694,2026-09-11T22:46:03Z,1905,8.1,9.6,227.22,0.00,0.09,,,2026-09-12T06:46:02.300643+08:00,1890,86,0,14.16,40.90,23,0,5,0,36,0,17,0,5,0,504,1.6944,9.3575,0.6423,9.8036,0.5556,9.8193,201,0.1169,-0.0181,-0.0442,0.9036,0.6954,1.1402,201,0.0138,-0.1445,-0.0024,0.5224,0.5318,0.7455,0.33372,-0.64457,-0.49468,0.47797,-109.5,-16.6,93.2,3,10,546.00,2026-09-12T06:46:03.619791+08:00,573,91.0,30.0,DISCHARGING,2026-09-12T06:46:04.194791+08:00,-2,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,13659,,,,25.9,8.1,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:46:14.203344+08:00,2026-09-12T06:46:04.203344+08:00,10,10.3478752,123.8078678,2026-09-11T22:46:11Z,3915,10.6,12.1,225.96,0.00,0.09,,,2026-09-12T06:46:10.298297+08:00,3905,86,0,12.51,35.80,23,0,5,0,36,0,17,0,5,0,504,0.7740,9.4966,-0.4424,9.7764,0.7832,9.8077,201,0.0481,-0.0792,-0.0236,1.1443,0.7635,1.3756,201,0.0080,0.0875,-0.0093,0.5579,0.3774,0.6736,0.64326,-0.39532,-0.27798,0.59385,-57.6,-6.4,98.1,0,10,540.00,2026-09-12T06:46:13.818344+08:00,385,91.0,30.0,DISCHARGING,2026-09-12T06:46:04.193344+08:00,10010,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,23670,,,,26.2,10.6,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:46:24.213404+08:00,2026-09-12T06:46:14.213404+08:00,10,10.3478795,123.8078702,2026-09-11T22:46:19Z,5925,7.6,9.1,225.67,0.00,0.09,,,2026-09-12T06:46:18.301234+08:00,5912,87,0,12.02,35.90,23,0,5,0,37,0,17,0,5,0,502,0.9651,9.4043,-0.5264,9.8641,0.7662,9.8938,201,0.0338,-0.0723,-0.1152,1.3390,1.0480,1.7004,201,-0.0461,-0.0001,0.0018,0.7162,0.5557,0.9065,0.59493,-0.34755,-0.38592,0.61346,-62.6,1.9,87.1,0,10,66.00,2026-09-12T06:46:23.818404+08:00,395,91.0,30.0,DISCHARGING,2026-09-12T06:46:04.193404+08:00,20020,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,33680,,,,26.7,7.6,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:46:34.228693+08:00,2026-09-12T06:46:24.228693+08:00,10,10.3478817,123.8078691,2026-09-11T22:46:27Z,7941,8.7,10.1,225.59,0.00,0.09,,,2026-09-12T06:46:33.295318+08:00,934,0,0,,,0,0,0,0,0,0,0,0,0,0,502,0.9023,9.5500,0.4711,9.8040,0.5559,9.8197,201,0.0633,-0.0252,-0.0536,0.9674,0.8786,1.3068,201,-0.0305,-0.1197,0.0256,0.5819,0.4544,0.7383,0.27035,-0.65675,-0.60553,0.35905,-127.0,-8.3,90.5,5,15,973.00,2026-09-12T06:46:33.817693+08:00,411,91.0,30.0,DISCHARGING,2026-09-12T06:46:04.192693+08:00,30036,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,43695,,,,27.0,8.7,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:46:44.238601+08:00,2026-09-12T06:46:34.238601+08:00,10,10.3478826,123.8078740,2026-09-11T22:46:43Z,1950,8.2,9.5,225.80,0.00,0.09,,,2026-09-12T06:46:42.299026+08:00,1939,86,0,13.21,36.30,23,0,5,0,36,0,17,0,5,0,502,1.3786,9.3701,-1.1564,9.7724,0.6315,9.7927,201,0.0667,-0.0424,-0.0949,1.0128,0.7192,1.2421,201,0.0476,0.1894,-0.0023,0.6037,0.4040,0.7264,0.71709,-0.35127,0.07605,0.59716,-29.1,-31.9,108.9,0,15,255.00,2026-09-12T06:46:43.818601+08:00,420,91.0,30.0,DISCHARGING,2026-09-12T06:46:04.193601+08:00,40045,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,53705,,,,27.8,8.2,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:47:03.87942+08:00,2026-09-12T06:46:53.87942+08:00,10,10.3478879,123.8078737,2026-09-11T22:46:59Z,5591,8.2,8.8,225.19,0.00,0.09,,,2026-09-12T06:46:58.310967+08:00,5568,85,0,13.27,37.00,23,0,5,0,35,0,17,0,5,0,983,0.5557,8.9911,-2.4966,9.9522,1.4006,10.0503,391,0.1232,-0.1040,-0.0907,1.8812,1.3304,2.3040,386,0.0238,-0.0038,-0.0474,0.6824,0.4505,0.8177,0.81528,0.22198,0.22081,0.48712,35.7,-8.3,115.6,8,23,374.00,2026-09-12T06:47:03.81842+08:00,61,91.0,30.0,DISCHARGING,2026-09-12T06:46:04.19342+08:00,59686,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,73346,,,,28.5,8.2,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:47:23.204746+08:00,2026-09-12T06:47:13.204746+08:00,10,10.3478887,123.8078754,2026-09-11T22:47:23Z,917,8.0,9.2,224.38,0.00,0.10,,,2026-09-12T06:47:22.298535+08:00,904,86,0,13.77,38.50,23,0,5,0,36,0,17,0,5,0,968,0.1174,8.2134,1.0925,10.0461,2.0475,10.2526,386,0.0221,-0.1259,-0.0921,2.3738,1.7208,2.9319,379,-0.0273,-0.1711,-0.0075,1.0264,1.1137,1.5145,0.07871,-0.37265,-0.87456,0.30012,-144.1,-4.9,44.6,18,41,1686.00,2026-09-12T06:47:23.185746+08:00,19,90.0,31.0,DISCHARGING,2026-09-12T06:47:23.206746+08:00,-2,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,92671,,,,29.2,8.0,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:47:33.215456+08:00,2026-09-12T06:47:23.215456+08:00,10,10.3478839,123.8078752,2026-09-11T22:47:32Z,1926,7.1,7.2,223.60,0.00,0.32,,,2026-09-12T06:47:31.302239+08:00,1913,94,0,12.65,34.80,23,0,5,0,44,0,17,0,5,0,501,-0.0703,7.2653,4.4326,10.1355,2.0865,10.3481,201,0.0358,-0.2419,0.1398,2.1507,1.9927,2.9319,201,-0.0283,0.0844,-0.0395,1.3699,1.4641,2.0050,0.27001,-0.34812,-0.72205,0.53344,-106.6,1.1,52.3,0,41,1220.00,2026-09-12T06:47:32.929456+08:00,286,90.0,31.0,DISCHARGING,2026-09-12T06:47:23.205456+08:00,10010,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,102682,,,,29.7,7.1,GOOD
4616a89e-6aa7-461f-abf0-d8186b0aab26,2026-09-12T06:47:43.221253+08:00,2026-09-12T06:47:33.221253+08:00,10,10.3478855,123.8078737,2026-09-11T22:47:39Z,4934,8.7,9.5,223.15,0.00,0.09,,,2026-09-12T06:47:38.298388+08:00,4922,85,0,14.33,38.70,23,0,5,0,35,0,17,0,5,0,505,-0.3034,8.2669,5.0922,9.7437,0.1693,9.7451,201,-0.0060,0.0138,-0.0104,0.2930,0.2390,0.3782,201,0.0192,0.0354,0.0219,0.2551,0.2260,0.3408,0.36350,-0.36973,-0.60957,0.59967,-90.9,-0.0,62.5,0,41,1053.00,2026-09-12T06:47:40.609253+08:00,2612,90.0,31.0,DISCHARGING,2026-09-12T06:47:23.205253+08:00,20016,TRAIL,0.50,2026-09-12T06:45:50.53324+08:00,112688,,,,29.9,8.7,GOOD
